Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EP_01-09,Chrome 111.0.0.0,,,2023-03-30 21:33:44,2023-03-30 21:36:48,3m - 4.111s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-01,Chrome 111.0.0.0,"Show more event available with
 ""View More"" button",,2023-03-30 21:33:44,2023-03-30 21:34:28,44.085s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:33:45,2023-03-30 21:33:52,7.789s,PASSED
"navigateToUrl(""https://demo-app.online/event"")",Chrome 111.0.0.0,,,2023-03-30 21:33:52,2023-03-30 21:34:02,9.178s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-01/Page_Online event bersertifikat dari prakti_f42b96/button_Muat Lebih Banyak""))",Chrome 111.0.0.0,,,2023-03-30 21:34:02,2023-03-30 21:34:09,7.469s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-01/Page_Online event bersertifikat dari prakti_f42b96/button_Muat Lebih Banyak""))",Chrome 111.0.0.0,,,2023-03-30 21:34:09,2023-03-30 21:34:12,2.399s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-01/Page_Online event bersertifikat dari prakti_f42b96/button_Muat Lebih Banyak""))",Chrome 111.0.0.0,,,2023-03-30 21:34:12,2023-03-30 21:34:14,2.237s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-01/Page_Online event bersertifikat dari prakti_f42b96/button_Muat Lebih Banyak""))",Chrome 111.0.0.0,,,2023-03-30 21:34:14,2023-03-30 21:34:18,4.542s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-01/Page_Online event bersertifikat dari prakti_f42b96/button_Muat Lebih Banyak""))",Chrome 111.0.0.0,,,2023-03-30 21:34:18,2023-03-30 21:34:20,1.924s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-01/Page_Online event bersertifikat dari prakti_f42b96/button_Muat Lebih Banyak""))",Chrome 111.0.0.0,,,2023-03-30 21:34:20,2023-03-30 21:34:22,1.632s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:34:22,2023-03-30 21:34:28,6.353s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-02,Chrome 111.0.0.0,"""Search for event with search function
with event title as the keyword""",,2023-03-30 21:34:28,2023-03-30 21:34:46,17.220s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:34:29,2023-03-30 21:34:33,3.765s,PASSED
"navigateToUrl(""https://demo-app.online/event"")",Chrome 111.0.0.0,,,2023-03-30 21:34:33,2023-03-30 21:34:37,3.967s,PASSED
"setText(findTestObject(""Object Repository/Event Purchase/EP-02/Page_Online event bersertifikat dari prakti_f42b96/input_Events_searchInputEvent""), ""data wrangling"")",Chrome 111.0.0.0,,,2023-03-30 21:34:37,2023-03-30 21:34:41,4.479s,PASSED
"click(findTestObject(""Object Repository/Event Purchase/EP-02/Page_Online event bersertifikat dari prakti_f42b96/div_Day 2 Data Wrangling with Python       _d4413c""))",Chrome 111.0.0.0,,,2023-03-30 21:34:41,2023-03-30 21:34:45,3.203s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-30 21:34:45,2023-03-30 21:34:46,0.839s,PASSED
,,,,,,,
Test Cases/Web/EP/EP-03,Chrome 111.0.0.0,"""Search for event with search function
with presenter as the keyword""",,2023-03-30 21:34:46,2023-03-30 21:35:20,34.596s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:34:46,2023-03-30 21:34:50,3.342s,PASSED
