Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOG_01-06,Chrome 111.0.0.0,,,2023-03-30 21:37:51,2023-03-30 21:40:53,3m - 2.524s,FAILED
,,,,,,,
Test Cases/Web/LOG/LOG-01,Chrome 111.0.0.0,Log in using a valid credential,Positive,2023-03-30 21:37:51,2023-03-30 21:38:30,38.724s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:37:52,2023-03-30 21:38:00,8.143s,PASSED
"navigateToUrl(""https://demo-app.online/login"")",Chrome 111.0.0.0,,,2023-03-30 21:38:00,2023-03-30 21:38:13,13.211s,PASSED
"email = ""burnerforpractice02@gmail.com""",Chrome 111.0.0.0,,,2023-03-30 21:38:13,2023-03-30 21:38:13,0.001s,PASSED
"setText(findTestObject(""Object Repository/Web/Login/Login_inputText_Email""), email)",Chrome 111.0.0.0,,,2023-03-30 21:38:13,2023-03-30 21:38:17,4.439s,PASSED
"setText(findTestObject(""Object Repository/Web/Login/Login_inputText_Password""), ""testingtesting"")",Chrome 111.0.0.0,,,2023-03-30 21:38:17,2023-03-30 21:38:21,3.672s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Login_button_Login""))",Chrome 111.0.0.0,,,2023-03-30 21:38:21,2023-03-30 21:38:25,3.495s,PASSED
delay(5),Chrome 111.0.0.0,,,2023-03-30 21:38:25,2023-03-30 21:38:30,5.070s,PASSED
"assert getUrl() == ""https://demo-app.online/""",Chrome 111.0.0.0,,,2023-03-30 21:38:30,2023-03-30 21:38:30,0.053s,PASSED
"emailConfirm = executeJavaScript(""return mail;"", null)",Chrome 111.0.0.0,,,2023-03-30 21:38:30,2023-03-30 21:38:30,0.100s,PASSED
assert emailConfirm == email,Chrome 111.0.0.0,,,2023-03-30 21:38:30,2023-03-30 21:38:30,0.001s,PASSED
,,,,,,,
Test Cases/Web/LOG/LOG-02,Chrome 111.0.0.0,"Log in using Google API with a 
registered E-mail having multiple Google
 account stored in browser",,2023-03-30 21:39:53,2023-03-30 21:40:22,28.691s,FAILED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 21:39:53,2023-03-30 21:39:57,3.385s,PASSED
"navigateToUrl(""https://demo-app.online/login"")",Chrome 111.0.0.0,,,2023-03-30 21:39:57,2023-03-30 21:40:02,5.424s,PASSED
"click(findTestObject(""Object Repository/WEB/Login/LOG-02/Page_Masuk untuk dapatkan akses di Coding.ID/button_Sign-in With Google""))",Chrome 111.0.0.0,,,2023-03-30 21:40:02,2023-03-30 21:40:07,4.768s,PASSED
"setText(findTestObject(""Object Repository/WEB/Login/LOG-02/Page_Login - Akun Google/input_demo-app.online_identifier""), ""rizkikhaerulfajri@gmail.com"")",Chrome 111.0.0.0,,,2023-03-30 21:40:07,2023-03-30 21:40:10,3.122s,PASSED
"click(findTestObject(""Object Repository/WEB/Login/LOG-02/Page_Login - Akun Google/span_Berikutnya""))",Chrome 111.0.0.0,,,2023-03-30 21:40:10,2023-03-30 21:40:11,1.546s,PASSED
"click(findTestObject(""Object Repository/WEB/Login/LOG-02/Page_Login - Akun Google/span_Coba lagi""))",Chrome 111.0.0.0,,,2023-03-30 21:40:11,2023-03-30 21:40:15,3.096s,PASSED
"setText(findTestObject(""Object Repository/WEB/Login/LOG-02/Page_Login - Akun Google/input_demo-app.online_identifier""), ""rizkikhaerulfajri@gmail.com"")",Chrome 111.0.0.0,,,2023-03-30 21:40:15,2023-03-30 21:40:19,4.186s,PASSED
"click(findTestObject(""Object Repository/WEB/Login/LOG-02/Page_Login - Akun Google/div_Browser atau aplikasi ini mungkin tidak aman""))",Chrome 111.0.0.0,,,2023-03-30 21:40:19,2023-03-30 21:40:20,1.486s,PASSED
"click(findTestObject(""Object Repository/WEB/Login/LOG-02/Page_Login - Akun Google/div_Coba gunakan browser lain. Jika Anda su_22138e""))",Chrome 111.0.0.0,,,2023-03-30 21:40:20,2023-03-30 21:40:22,1.644s,FAILED
,,,,,,,
Test Cases/Web/LOG/LOG-03,Chrome 111.0.0.0,"Log in using Google API with a 
registered E-mail having only one Google
account stored in browser",,2023-03-30 21:40:22,2023-03-30 21:40:22,0.332s,PASSED
